dacb,channel,0,16,32,48
0,0,228.71147,248.06485,268.54886,287.31015
0,1,259.29135,279.3496,298.56674,318.016
0,2,217.14192,236.78947,255.6673,276.0752
0,3,218.03195,237.67575,255.64568,275.83554
0,4,230.66823,250.66353,270.8421,290.20206
0,5,227.52913,246.8374,265.5075,284.52725
0,6,213.42857,233.46992,252.6297,271.7782
0,7,247.14568,266.45584,286.38535,305.54416
0,8,261.83646,281.9032,300.98495,320.00565
0,9,282.66635,302.4051,321.2143,340.5188
0,10,226.46617,246.48872,265.2519,284.92575
0,11,220.45583,239.85995,260.20114,279.5113
0,12,250.86935,270.25375,289.5094,308.80075
0,13,202.93233,222.59305,241.94455,261.2613
0,14,256.891,276.80075,295.76785,314.98965
0,15,236.66353,255.30357,274.94266,293.5968
0,16,220.81955,239.5921,258.9699,278.0028
0,17,222.66353,242.51973,261.8468,281.43234
0,18,243.63345,263.7716,283.82144,303.63345
0,19,243.00565,262.6532,281.7171,301.44925
0,20,252.6297,272.53665,292.0113,312.3562
0,21,228.68045,249.01315,268.50095,288.13535
0,22,237.33647,257.1128,276.703,296.85526
0,23,269.26785,289.5752,309.6391,329.74625
0,24,247.13252,267.7904,286.96146,307.35715
0,25,263.54605,282.8731,303.3957,322.53854
0,26,251.47838,271.61185,291.95676,312.00565
0,27,250.25752,270.23685,289.28476,308.84116
0,28,237.64285,257.6156,278.0188,297.94266
0,29,257.80545,278.1081,297.6673,317.7406
0,30,243.07895,262.844,283.27255,302.6607
0,31,275.109,295.8045,315.1128,335.2829
0,32,258.68985,278.6363,297.60245,317.5357
0,33,228.79135,248.46147,268.53946,287.50095
0,34,200.58928,220.3938,239.6532,259.0094
0,35,244.26785,263.82895,284.4201,303.3487
0,36,199.76222,219.3205,237.86278,255.11748
0,37,203.26598,221.99342,240.6955,259.38345
0,38,204.21805,222.63252,241.53572,259.86185
0,39,198.40413,216.33177,234.60338,253.00565
0,40,187.41072,206.0235,224.53102,243.36465
0,41,222.66917,241.15132,258.9154,277.6156
0,42,213.63628,232.5235,250.97838,269.3872
0,43,216.91165,235.71523,254.5047,272.7923
0,44,228.76128,247.26785,265.5752,284.1034
0,45,248.18797,266.66446,285.3722,303.4013
0,46,206.23778,223.2265,242.7171,260.78476
0,47,243.88628,262.4549,281.5893,300.02914
0,48,212.61935,230.9765,249.75658,268.0075
0,49,218.55827,237.32988,255.32237,274.0799
0,50,195.7923,214.25658,231.71147,250.29512
0,51,214.35902,233.078,252.25845,270.34586
0,52,204.10527,222.61465,242.3205,260.5028
0,53,205.90132,223.93797,242.70583,261.4051
0,54,215.58553,235.6297,253.9483,272.90976
0,55,195.59775,215.33835,234.50752,253.80263
0,56,204.53947,223.30545,243.41635,262.047
0,57,233.5545,252.45677,270.906,289.7124
0,58,210.77725,229.53008,249.31955,267.51315
0,59,219.0545,238.41447,257.90225,277.2528
0,60,201.9906,221.73308,240.2594,259.73215
0,61,224.77162,244.29042,263.10056,282.4361
0,62,248.21898,267.4004,285.07236,303.6936
0,63,208.47275,227.35338,246.61842,265.28476
0,64,228.0047,246.39473,264.73026,283.27444
0,65,209.98685,229.66353,248.3111,267.89005
0,66,215.4126,234.5705,253.26505,271.4051
0,67,201.90225,220.61185,238.82425,256.875
0,68,194.95677,214.14662,232.9953,251.7312
0,69,189.72275,208.43985,227.85338,246.5686
0,70,172.38158,190.39005,208.0047,226.6936
0,71,189.5047,208.69737,227.31297,246.04605
0,72,220.62405,240.7406,260.53195,280.21146
0,73,218.78383,237.52913,255.2359,274.1504
0,74,11.508459,30.726503,49.037594,67.827065
0,75,8.968985,28.723684,47.462406,67.64286
0,76,0,0,0,0.08646616
0,77,0,0,0,3.1080828
16,0,310.64755,330.1861,350.3703,369.7998
16,1,341.5122,360.7669,380.0874,399.0639
16,2,296.6842,316.2622,336.24435,355.7124
16,3,296.2453,315.3985,334.5987,353.6983
16,4,310.10526,329.7754,350.39285,369.5846
16,5,316.71054,335.3863,354.1344,372.8703
16,6,290.28195,309.84116,329.1278,348.8393
16,7,334.31955,353.3891,373.6344,392.78946
16,8,341.2857,361.0301,380.0545,399.2359
16,9,368.5846,387.7246,407.1861,426.47556
16,10,303.27914,323.219,341.7218,361.67764
16,11,300.1203,319.33176,339.90976,359.6156
16,12,335.21335,354.1363,373.5329,392.55264
