,ch,x,y
1,45,83.41372354435069,-237.9046574142842
4,37,152.53240020821377,-236.69818642536416
5,36,175.57122746105654,-237.30147934885304
6,40,198.59141133113414,-238.4072180728151
14,24,199.95427043565917,-215.29736919703896
15,26,223.4486689350495,-216.9402575826316
19,34,129.17955898503763,-189.7936289223162
24,14,55.30384615764609,-168.51051356118296
22,23,201.34685929602801,-191.6833961881198
20,28,153.24716111122487,-189.89864431380602
19,34,129.17955898503763,-189.7936289223162
24,14,55.30384615764609,-168.51051356118296
32,13,53.52567097161196,-143.85455093532346
