,ch,x,y
0,69,23.99946121826123,-255.1542762190395
2,65,92.02808895729756,-251.73785321038008
3,67,126.08210829474982,-251.14343809177808
4,60,160.14099079525496,-251.29204894468876
5,62,194.18852627536495,-252.18361503839492
7,58,262.18475015604577,-256.19356219500514
15,57,264.948878311715,-222.02518506732986
14,55,230.2266011013623,-219.59716691859126
13,61,195.45961991593367,-217.92718905790343
12,59,160.66448195549896,-217.01604630428255
11,66,125.85774782122898,-216.86417231233168
10,64,91.05598363344598,-217.47163936584593
9,70,56.2757531470461,-218.83815834340817
8,68,21.533609868048885,-220.96307885599504
16,41,19.012730038171654,-186.0088632320776
17,43,54.51799541361221,-183.8372681725773
18,37,90.06218459393669,-182.44073317618154
19,39,125.62838047016314,-181.8199229179122
20,50,161.19965545931316,-181.97513286982962
21,52,196.75907956102503,-182.90628916040237
22,46,232.28972841531822,-184.61294860966768
23,48,267.7746913576727,-187.09429894016012
31,47,270.66218929391874,-151.40090381349614
30,45,234.3978918940673,-148.86505710895312
29,51,198.08690521063897,-147.12091534589217
28,49,161.74651130669758,-146.16930864133042
27,38,125.39400624155226,-146.01068990851968
26,36,89.04669183876969,-146.64513464138668
25,42,52.72186745144165,-148.0723408785998
24,40,16.436821728629525,-150.29162934728697
32,20,13.803726959827813,-113.78145491688315
33,22,50.88586454568198,-111.5134142213517
34,33,88.00865463399761,-110.05485582635833
35,35,125.15442878725734,-109.4064739267044
36,29,162.3055076287726,-109.56857711705743
37,31,199.44420925710978,-110.54108824507853
38,24,236.55285766171906,-112.32354444814155
39,26,273.6137911357587,-114.91509737363162
47,25,276.6294968831924,-77.63687962056724
45,30,200.83099170043738,-73.16680785796098
44,28,162.87664442553825,-72.17293829701089
42,32,86.94807297962046,-72.66989673109674
40,19,11.113445731766518,-76.47833994086636
50,10,85.86395435269964,-34.455271431314486
51,12,124.65943512878651,-33.77809379544624
52,1,163.4604561833016,-33.947396262508846
53,3,202.24855033167842,-34.96309825369622
54,5,241.00525654185847,-36.82471634987155
55,7,279.712128720743,-39.53136452164608
63,6,282.8628961560632,-0.5836009200149874
62,4,243.30563319452867,2.1825123680962406
61,2,203.697441347,4.08503025236314
60,0,164.05717196762293,5.123047237312676
59,11,124.40369167771223,5.296069283079532
58,9,84.75587338626147,4.604014040540051
