,ch,x,y
0,69,0.23934214914112317,-254.67207708156184
1,71,40.68905948146305,-252.19806638517048
2,65,81.1831211353498,-250.60705036961417
3,67,121.70225413060633,-249.89978627234677
4,60,162.2271735544358,-250.0766107127738
5,62,202.73859174001393,-251.13743953203766
6,56,243.21722744637538,-253.08176783307522
7,58,283.6438150352408,-255.9086702209197
15,57,286.9352885274933,-215.2215887054092
13,61,204.25218690944263,-210.34551104534944
12,59,162.85053729892707,-209.26137069581387
11,66,121.43508976277903,-209.08066056881694
9,70,38.641644138938545,-211.4294449905833
8,68,-2.6969487527161675,-213.95782164517118
16,41,-5.646187532141624,-173.06403250033986
17,43,36.58520050729953,-170.48105015525584
18,37,78.86288608291294,-168.81995536495333
19,39,121.1667473061176,-168.08153872058801
20,50,163.47664983014073,-168.26615166849
21,52,205.77245643287665,-169.3737063428946
22,46,248.03403660111564,-171.40367560776212
23,48,290.24127611157843,-174.3550933076649
31,47,293.7375595663573,-131.13628256507445
30,45,250.5866746474312,-128.1188787501526
29,51,207.38023415326933,-126.04352458927383
28,49,164.13880200949254,-124.91120783861766
27,38,120.88295879585323,-124.72246741963113
26,36,77.63329195099331,-125.47739316253205
25,42,34.4103859739369,-127.17562576355317
24,40,-8.765187373017,-129.8163569559522
32,20,-11.900731724118401,-86.3392772285572
33,22,32.224035293372395,-83.64049086423779
34,33,76.39717552547728,-81.90492345765347
35,35,120.59766494985635,-81.1334010448918
36,29,164.8044665274341,-81.32629082883614
37,31,208.996540214891,-82.48350100439552
38,24,253.1528529785865,-84.60448080220112
39,26,297.2523888051444,-87.68822075074081
47,25,300.8430138568349,-43.30321977362928
45,30,210.64770123631826,-37.98412384828998
44,28,165.4844858204815,-36.801483431598626
42,32,75.13440276961057,-37.39283178620917
41,21,29.99053688076542,-39.166539107721746
48,14,-18.378986467412574,3.487421561285373
49,16,27.706881306411148,6.306153986241043
50,10,73.84327221549847,8.118857722006851
51,12,120.00822783651662,8.924670019780024
52,1,166.17977615087563,8.72320735654921
53,3,212.3359420022195,7.514565617631888
54,5,258.4547575554126,5.299320051035011
55,7,304.5142727520397,2.0785249936711807
