id,ch,x,y
0,69,248.49946121826122,-749.0542762190394
1,71,282.4951406517433,-746.9750113910916
2,65,316.52808895729754,-745.63785321038
3,67,350.5821082947498,-745.043438091778
4,60,384.64099079525494,-745.1920489446886
5,62,418.68852627536495,-746.0836150383948
6,56,452.70850995219956,-747.717712035723
7,58,486.68475015604577,-750.093562195005
8,68,246.03360986804887,-714.8630788559949
9,70,280.7757531470461,-712.738158343408
10,64,315.555983633446,-711.3716393658458
11,66,350.357747821229,-710.7641723123315
12,59,385.16448195549896,-710.9160463042824
13,61,419.9596199159337,-711.8271890579033
14,55,454.7266011013623,-713.4971669185911
15,57,489.448878311715,-715.9251850673297
16,41,243.51273003817164,-679.9088632320775
17,43,279.0179954136122,-677.7372681725772
18,37,314.5621845939367,-676.3407331761814
19,39,350.12838047016317,-675.7199229179121
20,50,385.6996554593132,-675.8751328698295
21,52,421.25907956102503,-676.8062891604022
22,46,456.7897284153182,-678.5129486096675
23,48,492.2746913576727,-680.99429894016
24,40,240.93682172862952,-644.1916293472868
25,42,277.22186745144165,-641.9723408785997
26,36,313.5466918387697,-640.5451346413865
27,38,349.8940062415523,-639.9106899085195
28,49,386.2465113066976,-640.0693086413303
29,51,422.586905210639,-641.020915345892
30,45,458.8978918940673,-642.765057108953
31,47,495.16218929391874,-645.300903813496
32,20,238.30372695982783,-607.681454916883
33,22,275.385864545682,-605.4134142213516
34,33,312.5086546339976,-603.9548558263582
35,35,349.65442878725736,-603.3064739267043
36,29,386.8055076287726,-603.4685771170573
37,31,423.9442092571098,-604.4410882450784
38,24,461.05285766171903,-606.2235444481414
39,26,498.1137911357587,-608.8150973736315
40,19,235.61344573176652,-570.3783399408662
41,21,273.5099866963332,-568.0604882008331
42,32,311.44807297962046,-566.5698967310966
43,34,349.4096481072784,-565.9072749724658
44,28,387.37664442553825,-566.0729382970108
45,30,425.3309917004374,-567.0668078579608
46,23,463.25462571827353,-568.8884106272333
47,25,501.1294968831924,-571.5368796205671
48,14,232.86346040158514,-532.2473750870392
49,16,271.5924784027342,-529.8786068702336
50,10,310.36395435269964,-528.3552714313143
51,12,349.1594351287865,-527.6780937954461
52,1,387.96045618330163,-527.8473962625087
53,3,426.7485503316784,-528.8630982536961
54,5,465.50525654185844,-530.7247163498714
55,7,504.212128720743,-533.431364521646
56,13,230.05269197948633,-493.2735992130322
57,15,269.6325873074587,-490.8527891094916
58,9,309.25587338626144,-489.2959859594598
59,11,348.90369167771223,-488.60393071692033
60,0,388.55717196762293,-488.7769527626872
61,2,428.197441347,-489.8149697476367
62,4,467.8056331945287,-491.7174876319036
63,6,507.3628961560632,-494.48360092001485
