block,block_id,parameter,parameter_id,address,parameter_name,access,size_byte,default_value,param_mask,param_shift,max_value,description
Aligner,Global,snapshot_arm,,0x0380,Aligner_snapshot_arm,rw,1,0,1,0,1,Arms snapshot with a 0->1 transition for this bit in i2c trigger alignment mode. For this alignment mode also set per_ch_align_en=0; set snapshot_en=1 and i2c_snapshot_en=1. The snapshot will be taken on the next BC counter == ORBSYN_CNT_SNAPSHOT
Aligner,Global,snapshot_en,,0x0380,Aligner_snapshot_en,rw,1,1,1,1,1,Enables snapshot operation [1: enabled; 0: disabled] (for Manual alignment mode also set per_ch_align_en=0; snapshot_arm=0; i2c_snapshot_en=0 - for Automatic alignment mode also set per_ch_align_en=1; snapshot_arm=0; i2c_snapshot_en=0 - for i2c trigger mode also set per_ch_align_en=0; a 0->1 transition to snapshot_arm; i2c_snapshot_en=1;)
Aligner,Global,i2c_snapshot_en,,0x0380,Aligner_i2c_snapshot_en,rw,1,0,1,2,1,Enables manual triggering on 192-bit i2c snapshot [0: disabled; 1: enabled] (for i2c trigger alignment mode also set per_ch_align_en=0 and set snapshot_en=1). The snapshot is armed by a 0->1 transition on the snapshot_arm bit
Aligner,Global,dbg_fc_cnt_clr,,0x0380,Aligner_dbg_fc_cnt_clr,rw,1,0,1,3,1,Clears FC debug counters (dbg_*) (0: do not clear; 1: active reset). Need to write to 1 and 0 afterwards
Aligner,Global,freeze_output_enable,,0x0380,Aligner_freeze_output_enable,rw,1,1,1,4,1,Enables the freezing of channel aligners outputs if the PLL is not locked or any of the active channels (erx) is not locked. [0: disabled - channel aligners outputs propagate to the core logic; 1: enabled - channel aligner outputs gated to '0']
Aligner,Global,freeze_output_enable_all_channels_locked,,0x0380,Aligner_freeze_output_enable_all_channels_locked,rw,1,1,1,5,1,Enables the freezing of channel aligners outputs if any of the active channels (erx) is not locked. [0: disabled - channel aligners outputs propagate to the core logic; 1: enabled - channel aligner outputs gated to '0']
Aligner,Global,match_pattern_val,,0x0381,Aligner_match_pattern_val,rw,8,2594876074,18446744073709551615,0,18446744073709551615,Training pattern that should match what is sent by HGCROC when issuing a link_reset_ROC fast command. It should be used as {header[3:0]; body[27:0]; special_header[3:0]; body[27:0]}
Aligner,Global,match_mask_val,,0x0389,Aligner_match_mask_val,rw,8,18446744069414584320,18446744073709551615,0,18446744073709551615,Used only in Auto Alignment mode. 64-bit mask that is used to indicate which bits of the match_pattern_val should be compared to the 64 select pattern inside the 192-bit snapshot (0: compare enabled; 1: compare disabled)
Aligner,Global,orbsyn_hdr_val,,0x0391,Aligner_orbsyn_hdr_val,rw,1,9,15,0,15,Special header value used only for monitoring purposes. After alignment is done it should match special header sent by the HGCROC. Mismatches indicated in orbsyn_hdr_err and counted in orbsyn_hdr_err_cnt registers
Aligner,Global,orbsyn_hdr_mask,,0x0391,Aligner_orbsyn_hdr_mask,rw,1,0,15,4,15,4-bit mask that is used only for monitoring purposes. It indicates which bits of the orbsyn_hdr_val should be monitored (0: monitor enabled; 1: monitor disabled)
Aligner,Global,idle_hdr_val,,0x0392,Aligner_idle_hdr_val,rw,1,10,15,0,15,Header value used only for monitoring purposes. After alignment is done it should match header sent by the HGCROC. Mismatches indicated in hdr_mm_err and counted in hdr_mm_cntr registers
Aligner,Global,idle_hdr_mask,,0x0392,Aligner_idle_hdr_mask,rw,1,0,15,4,15,4-bit mask that is used only for monitoring purposes. It indicates which bits of the idle_hdr_val should be monitored [0: monitor enabled; 1: monitor disabled]
Aligner,Global,orbsyn_cnt_max_val,,0x0393,Aligner_orbsyn_cnt_max_val,rw,3,3563,4095,0,4095,Sets the maximum value of bunch counter. BX counter rollover.
Aligner,Global,orbsyn_cnt_load_val,,0x0393,Aligner_orbsyn_cnt_load_val,rw,3,3513,4095,12,4095,Sets the value that the ECON internal bunch counter is reset to when a BCR Fast Command is issued
Aligner,Global,orbsyn_cnt_snapshot,,0x0396,Aligner_orbsyn_cnt_snapshot,rw,2,2,4095,0,4095,Sets the value of the internal bunch counter at which the snapshot occurs
Aligner,Global,done,,0x0398,Aligner_done,ro,1,0,1,0,1,Status of Alignment procedure [0: not done; 1: done]
Aligner,Global,dbg_lreset_rcvd,,0x0398,Aligner_dbg_lreset_rcvd,ro,1,0,1,1,1,Debug register: link-reset-ROC was received
Aligner,Global,dbg_orbsyn_rcvd,,0x0398,Aligner_dbg_orbsyn_rcvd,ro,1,0,1,2,1,Debug register: BCR FC was received
Aligner,Global,dbg_fc_cnt,,0x0398,Aligner_dbg_fc_cnt,ro,1,0,31,3,31,Debug register to count the number of BX between the link-reset-ROC and BCR fast commmand
Aligner,Global,tmr_err_cnt_aligner,,0x0399,Aligner_tmr_err_cnt_aligner,ro,1,0,255,0,255,wrap-around SEU error counter. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]) or hard reset
ChAligner,00,user_word,00,0x0004,ChAligner_00_user_word_00,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Transmitted from output of aligner while alignment procedure is active or when force_ch_outputs=1. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
