block,block_id,parameter,parameter_name,address,access,size_byte,default_value,param_mask,param_shift,max_value
AlgoDroplsb,Global,drop_lsb,AlgoDroplsb,0x4e5,rw,1,0,255,0,255
AlgoThreshold,00,val,AlgoThreshold_00,0x455,rw,3,0,16777215,0,16777215
AlgoThreshold,01,val,AlgoThreshold_01,0x458,rw,3,0,16777215,0,16777215
AlgoThreshold,02,val,AlgoThreshold_02,0x45b,rw,3,0,16777215,0,16777215
AlgoThreshold,03,val,AlgoThreshold_03,0x45e,rw,3,0,16777215,0,16777215
AlgoThreshold,04,val,AlgoThreshold_04,0x461,rw,3,0,16777215,0,16777215
AlgoThreshold,05,val,AlgoThreshold_05,0x464,rw,3,0,16777215,0,16777215
AlgoThreshold,06,val,AlgoThreshold_06,0x467,rw,3,0,16777215,0,16777215
AlgoThreshold,07,val,AlgoThreshold_07,0x46a,rw,3,0,16777215,0,16777215
AlgoThreshold,08,val,AlgoThreshold_08,0x46d,rw,3,0,16777215,0,16777215
AlgoThreshold,09,val,AlgoThreshold_09,0x470,rw,3,0,16777215,0,16777215
AlgoThreshold,10,val,AlgoThreshold_10,0x473,rw,3,0,16777215,0,16777215
AlgoThreshold,11,val,AlgoThreshold_11,0x476,rw,3,0,16777215,0,16777215
AlgoThreshold,12,val,AlgoThreshold_12,0x479,rw,3,0,16777215,0,16777215
AlgoThreshold,13,val,AlgoThreshold_13,0x47c,rw,3,0,16777215,0,16777215
AlgoThreshold,14,val,AlgoThreshold_14,0x47f,rw,3,0,16777215,0,16777215
AlgoThreshold,15,val,AlgoThreshold_15,0x482,rw,3,0,16777215,0,16777215
AlgoThreshold,16,val,AlgoThreshold_16,0x485,rw,3,0,16777215,0,16777215
AlgoThreshold,17,val,AlgoThreshold_17,0x488,rw,3,0,16777215,0,16777215
AlgoThreshold,18,val,AlgoThreshold_18,0x48b,rw,3,0,16777215,0,16777215
AlgoThreshold,19,val,AlgoThreshold_19,0x48e,rw,3,0,16777215,0,16777215
