Register Name,Register Address,Register Width,Register Access,Register Reset Value,Register Constraints,Register Custom Type,Field Name,Field Offset,Field Width,Field Access,Field Reset Value,Field is Covered,Field is Reserved,Field is Volatile,Field Constraints,Register Description,Field Description
RW_CHAL_xx_ALL_w0,,8,RW,,,,per_ch_align_en,0,1,,0x1,TRUE,FALSE,FALSE,,,Enables channel aligner sequence [0: disabled; 1: enabled] (for Automatic alignment mode also set snapshot_arm=0; snapshot_en=1; i2c_snapshot_en=0 and sel_override_en=0)
RW_CHAL_xx_ALL_w0,,8,RW,,,,sel_override_en,1,1,,0x0,TRUE,FALSE,FALSE,,,Enables the override of the select value with the value provided in sel_override_val [0: disabled (for Automatic Alignment); 1: enabled (for Manual Alignment)]
RW_CHAL_xx_ALL_w0,,8,RW,,,,patt_en,2,1,,0x0,TRUE,FALSE,FALSE,,,Enables a test (PRBS of user_words) pattern to be sent to the input of the channel aligner in place of data from ePortRx [0: disabled; 1: enabled]
RW_CHAL_xx_ALL_w0,,8,RW,,,,prbs28_en,3,1,,0x0,TRUE,FALSE,FALSE,,,Selects the pattern to be inserted in the PRBS generation [0: PRBS pattern 32 bits; 1: PRBS pattern is {4-bit header; PRBS [31:4]}]. The PRBS generator use the polynomial x^15 + x^14 + 1 and seed is set by the seed_in field
RW_CHAL_xx_ALL_w0,,8,RW,,,,patt_sel,4,1,,0x0,TRUE,FALSE,FALSE,,,Selection of test pattern to be sent to the input of the channel aligner [0: PRBS pattern each cycle; 1: cyclically transmit user_word_0->user_word_1->user_word_2->user_word_3]
RW_CHAL_xx_ALL_w0,,8,RW,,,,prbs_chk_en,5,1,,0x0,TRUE,FALSE,FALSE,,,Enables the aligner PRBS checker [1: enabled; 0: disabled]. The checker expects a PRBS with polynomial x^15 + x^14 + 1 and seed is set by the seed_in field. Errors indicated in prbs_chk_err and counted in prbs_chk_err_cnt registers
RW_CHAL_xx_ALL_w0,,8,RW,,,,force_ch_outputs,6,1,,0x0,TRUE,FALSE,FALSE,,,Enables user_word_0 pattern at the output of the channel aligner [1: enabled; 0: disabled]
RW_CHAL_xx_ALL_w0,,8,RW,,,,RSVD0,7,1,,0x0,FALSE,TRUE,FALSE,,,
RW_CHAL_xx_ALL_w1,,8,RW,,,,sel_override_val,0,8,,0x0,TRUE,FALSE,FALSE,,,The value for the alignment select register to be used when sel_override_en=1
RW_CHAL_xx_ALL_w2,,8,RW,,,,seed_in,0,8,,0x0,TRUE,FALSE,FALSE,,,Value loaded into the Linear Feeback Shift Register for the internal PRBS pattern generator. The value is padded to 15 bits by adding a leading 0
RW_CHAL_xx_ALL_w3,,8,RW,,,,seed_in,0,6,,0x0,TRUE,FALSE,FALSE,,,Value loaded into the Linear Feeback Shift Register for the internal PRBS pattern generator. The value is padded to 15 bits by adding a leading 0
RW_CHAL_xx_ALL_w3,,8,RW,,,,RSVD1,6,2,,0x0,FALSE,TRUE,FALSE,,,
RW_CHAL_xx_ALL_w4,,8,RW,,,,user_word_0,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Transmitted from output of aligner while alignment procedure is active or when force_ch_outputs=1. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w5,,8,RW,,,,user_word_0,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Transmitted from output of aligner while alignment procedure is active or when force_ch_outputs=1. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w6,,8,RW,,,,user_word_0,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Transmitted from output of aligner while alignment procedure is active or when force_ch_outputs=1. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w7,,8,RW,,,,user_word_0,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Transmitted from output of aligner while alignment procedure is active or when force_ch_outputs=1. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w8,,8,RW,,,,user_word_1,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w9,,8,RW,,,,user_word_1,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w10,,8,RW,,,,user_word_1,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w11,,8,RW,,,,user_word_1,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w12,,8,RW,,,,user_word_2,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w13,,8,RW,,,,user_word_2,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w14,,8,RW,,,,user_word_2,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w15,,8,RW,,,,user_word_2,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w16,,8,RW,,,,user_word_3,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w17,,8,RW,,,,user_word_3,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w18,,8,RW,,,,user_word_3,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RW_CHAL_xx_ALL_w19,,8,RW,,,,user_word_3,0,8,,0x0,TRUE,FALSE,FALSE,,,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
RO_CHAL_xx_ALL_w0,,8,RO,,,,pattern_match,0,1,,0x0,TRUE,FALSE,TRUE,,,Status of Alignment [0: alignment pattern not found in snapshot; 1: alignment pattern found in snapshot]
RO_CHAL_xx_ALL_w0,,8,RO,,,,snapshot_dv,1,1,,0x0,TRUE,FALSE,TRUE,,,Status of Snapshot [0: snapshot not taken; 1: snapshot taken]
RO_CHAL_xx_ALL_w0,,8,RO,,,,hdr_mm_err,2,1,,0x0,TRUE,FALSE,TRUE,,,Status 1: incorrect header (not matching idle_hdr_val) observed at BX!=1
RO_CHAL_xx_ALL_w0,,8,RO,,,,spare_err,3,1,,0x0,TRUE,FALSE,TRUE,,,
RO_CHAL_xx_ALL_w0,,8,RO,,,,orbsyn_hdr_err,4,1,,0x0,TRUE,FALSE,TRUE,,,Status 1: incorrect special header observed (not matching orbsyn_hdr_val)
RO_CHAL_xx_ALL_w0,,8,RO,,,,orbsyn_arr_err,5,1,,0x0,TRUE,FALSE,TRUE,,,Status 1: a second BCR fast command was received
RO_CHAL_xx_ALL_w0,,8,RO,,,,orbsyn_fc_err,6,1,,0x0,TRUE,FALSE,TRUE,,,Status 1: BCR fast command is missing
RO_CHAL_xx_ALL_w0,,8,RO,,,,prbs_chk_err,7,1,,0x0,TRUE,FALSE,TRUE,,,Status 1: error observed by the aligner PRBS checker
RO_CHAL_xx_ALL_w1,,8,RO,,,,select,0,8,,0x20,TRUE,FALSE,TRUE,,,Offset for location within 192-bit shift register from which channel aligner selects the 32-bit word. In Automatic Alignment this is the location of the MSB of the special header within the snapshot. Valid range is from 32 to 160 in Automatic alignment
RO_CHAL_xx_ALL_w2,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w3,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w4,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w5,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w6,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w7,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w8,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w9,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w10,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w11,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w12,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w13,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w14,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w15,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w16,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w17,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w18,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w19,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w20,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w21,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w22,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w23,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w24,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w25,,8,RO,,,,snapshot,0,8,,0x0,TRUE,FALSE,TRUE,,,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
RO_CHAL_xx_ALL_w26,,8,RO,,,,hdr_mm_cntr,0,8,,0x0,TRUE,FALSE,TRUE,,,Header mismatch error counter. Error counter for incorrect regular header (BX!=1). Reset by err_clr (RW_MISC_ALL.misc_rw_0[0])
RO_CHAL_xx_ALL_w27,,8,RO,,,,hdr_mm_cntr,0,8,,0x0,TRUE,FALSE,TRUE,,,Header mismatch error counter. Error counter for incorrect regular header (BX!=1). Reset by err_clr (RW_MISC_ALL.misc_rw_0[0])
RO_CHAL_xx_ALL_w28,,8,RO,,,,orbsyn_hdr_err_cnt,0,8,,0x0,TRUE,FALSE,TRUE,,,Error counter for incorrect special header observed (not matching orbsyn_hdr_val). Reset by err_clr (RW_MISC_ALL.misc_rw_0[0]). Saturates to 255
RO_CHAL_xx_ALL_w29,,8,RO,,,,orbsyn_arr_err_cnt,0,8,,0x0,TRUE,FALSE,TRUE,,,Error counter for extra BCR fast command. Reset by err_clr (RW_MISC_ALL.misc_rw_0[0]). Saturates to 255
